SEQN,RIDAGEYR,FIAINTRP,RIDAGEMN,WTMEC2YR,SIAINTRP,DMDHHSIZ,AIALANG,RIDAGEEX,DMDCITZN,DMDHRGND,DMDHRMAR,INDHHINC,RIDEXPRG,DMDEDUC2,DMDHREDU,FIALANG,RIDEXMON,DMQMILIT,DMDMARTL,SDDSRVYR,SDMVSTRA,MIALANG,SDMVPSU,INDFMPIR,SIALANG,MIAINTRP,WTINT2YR,DMDEDUC3,DMDBORN,RIAGENDR,DMDHRBRN,INDFMINC,DMDHRAGE,DMDSCHOL,RIDRETH1,DMDHSEDU,FIAPROXY,MIAPROXY,DMDYRSUS,RIDSTATR,SIAPROXY,SourceYear
21032.0,17.0,2.0,210.0,44897.713449,2.0,5.0,1.0,211.0,1.0,1.0,1.0,6.0,2.0,,3.0,1.0,2.0,2.0,5.0,3.0,32.0,1.0,2.0,1.54,1.0,2.0,45298.976693,10.0,1.0,2.0,1.0,6.0,38.0,1.0,3.0,3.0,2.0,2.0,,2.0,2.0,2003
21033.0,57.0,2.0,687.0,25488.344933,2.0,1.0,1.0,688.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,41.0,1.0,1.0,0.33,1.0,2.0,24726.391197,,1.0,2.0,1.0,1.0,57.0,,4.0,,2.0,2.0,,2.0,2.0,2003
21034.0,21.0,2.0,255.0,42370.699849,2.0,3.0,1.0,255.0,1.0,2.0,3.0,8.0,,2.0,2.0,1.0,1.0,2.0,5.0,3.0,35.0,1.0,2.0,3.19,1.0,2.0,39895.048196,,1.0,1.0,1.0,8.0,47.0,,3.0,,2.0,2.0,,2.0,2.0,2003
21035.0,15.0,2.0,184.0,6001.779446953401,2.0,2.0,1.0,184.0,1.0,2.0,1.0,7.0,,,4.0,1.0,2.0,,5.0,3.0,33.0,1.0,1.0,3.47,1.0,2.0,5679.823198173156,9.0,1.0,1.0,1.0,7.0,54.0,1.0,4.0,,2.0,2.0,,2.0,1.0,2003
21036.0,85.0,2.0,,22303.664416,2.0,1.0,,,1.0,2.0,2.0,6.0,,2.0,2.0,1.0,1.0,2.0,2.0,3.0,38.0,1.0,1.0,3.34,1.0,2.0,18940.264027,,1.0,2.0,1.0,6.0,85.0,,3.0,,2.0,2.0,,2.0,2.0,2003
21037.0,85.0,2.0,,20495.4479,2.0,1.0,,,1.0,1.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,39.0,1.0,2.0,1.72,1.0,2.0,18075.363916,,1.0,1.0,1.0,4.0,85.0,,3.0,,2.0,2.0,,2.0,2.0,2003
21038.0,14.0,2.0,171.0,7148.13991,2.0,5.0,1.0,172.0,1.0,1.0,1.0,7.0,,,4.0,1.0,2.0,,5.0,3.0,32.0,1.0,1.0,1.83,1.0,2.0,6950.848708,6.0,1.0,1.0,1.0,7.0,48.0,1.0,1.0,4.0,2.0,2.0,,2.0,1.0,2003
21039.0,84.0,2.0,1011.0,18569.113477,2.0,1.0,,1011.0,1.0,2.0,2.0,2.0,,3.0,3.0,1.0,2.0,2.0,2.0,3.0,30.0,1.0,2.0,0.92,1.0,2.0,16214.261473,,1.0,2.0,1.0,2.0,84.0,,3.0,,2.0,2.0,,2.0,2.0,2003
21040.0,2.0,2.0,35.0,35028.88682,2.0,2.0,,35.0,1.0,2.0,1.0,,,,4.0,1.0,1.0,,,3.0,39.0,,2.0,1.28,1.0,,35103.451942,,1.0,1.0,3.0,4.0,28.0,,3.0,,2.0,,,2.0,1.0,2003
21041.0,12.0,2.0,146.0,3284.551077,2.0,5.0,1.0,146.0,1.0,2.0,3.0,2.0,,,4.0,2.0,1.0,,,3.0,43.0,1.0,1.0,0.37,1.0,2.0,3193.8963,6.0,1.0,1.0,2.0,2.0,44.0,1.0,1.0,,2.0,2.0,,2.0,1.0,2003
21042.0,2.0,2.0,28.0,7604.450877,2.0,4.0,,29.0,1.0,1.0,6.0,5.0,,,2.0,1.0,1.0,,,3.0,35.0,,2.0,0.0,1.0,,6806.388436,,1.0,1.0,2.0,1.0,28.0,,1.0,,2.0,,,2.0,1.0,2003
